ID,Phase,Owner,Task,Estimated effort,Action,Definition of done,Dependency,Guide
"M01","Before launch","CEO + Omar","Confirm the business focus","30 min","Agree priority audience, actual services and service area.","A one-page brief with one primary buyer and three recurring questions.","Do not use assumed service coverage or unverified credentials.","#brief"
"M02","Before launch","Judy","Review tomorrow’s pack","30 min","Open the three slides and caption together on a phone. Send exact files for review.","CEO feedback recorded privately; spelling, formula and scope checked.","Approval is not recorded in this desk.","#tomorrow"
"M03","Before launch","Judy","Publish the one approved carousel","20 min + replies","Use 01–03 in order. Preserve the limitation. No link or boost.","Published URL and final crop shared with Omar after approval.","Only this organic post is allowed before the website is ready.","#publish"
"M04","Before launch","Judy","Listen before making more","20 min","Record the general questions and saves/shares at 24h and seven days.","One observation and one improvement; no invented reach target.","Do not interpret one post as proof of a winning strategy.","#learn"
"M05","Before launch","CEO","Supply real trust evidence","45 min","Provide approved team names, roles, headshots, licence details and permission to display them.","Verified evidence folder and approved descriptions, stored privately.","Never invent certificates, testimonials or case outcomes.","#ceo"
"M06","Before launch","Omar","Clear the website launch gate","60–90 min","Test Arabic mobile reading, service links, enquiry form, inbox delivery and privacy flow.","Successful test evidence; correct article URLs and reliable submission event.","Do not launch article-led posts or paid ads while this is unresolved.","#ads-lab"
"M07","Cycle 1","Omar","Make the Zakat article the anchor","90 min","Check the existing article against sources and CEO feedback. Add a worked organisational example and useful service route.","Reviewed article with direct answer, limitations and working internal links.","Do not present a file-organisation checklist as official filing requirements.","#campaign/zakat-file-preparation"
"M08","Cycle 1","Judy","Adapt the anchor for one channel","45 min","Choose Instagram carousel or LinkedIn explanation based on the reader. Verify its exact article destination.","Final caption, numbered visuals, alt text and approved CTA.","Website gate and content review must be cleared.","#publish"
"M09","Cycle 1","Judy","Publish and record the journey","30 min","Use a verified profile/Story route on Instagram or direct article link on LinkedIn.","Post URL, tagged external visits and useful questions recorded privately.","A feed caption URL is not a dependable clickable route.","#learn"
"M10","Cycle 1","Omar + Judy","Run a cover comprehension check","30 min","Show two cover drafts to three willing colleagues; ask what lesson they expect.","Record paraphrased answers and choose the clearer cover.","This is qualitative feedback, not a statistically valid split test.","#growth"
"M11","Cycle 1","Omar","Build a source and expert habit","30 min","Verify each tax claim and applicable scope. Ask the CEO to review the substantive example.","Claim, source, scope, reviewer and version recorded for the anchor.","A competitor article is not a tax-law authority.","#competitors"
"M12","Cycle 2","Omar","Strengthen VAT reconciliation","90 min","Improve the existing guide with period/scope comparison and one concrete next action.","Reviewed article and distinct social lesson, without repeating the Zakat creative.","The sample must not imply every mismatch is an error.","#campaign/vat-reconciliation-checklist"
"M13","Cycle 2","Judy","Test one reach hypothesis","45 min","Compare a question-led cover with a calculation-led cover across comparable approved posts.","A written hypothesis, fixed metric and one next decision.","Organic comparisons have confounders; record them.","#growth"
"M14","Cycle 2","Judy + Omar","Create a short explainer brief","45 min","Storyboard one approved lesson: question, demonstration, answer, limitation.","Reviewed spoken Arabic, on-screen text, shots and accessibility notes.","No need to force a video if a static example teaches it better.","#growth"
"M15","Cycle 2","Omar","Verify the invoice article","60 min","Check current ZATCA sources, applicability and publication before sharing its link.","Live article passes mobile and link review; CEO approves its claims.","Prepared URL does not equal a published page.","#campaign/pdf-vs-electronic-invoice"
"M16","Cycle 3","Omar","Research a small Search pilot","45 min","Use Keyword Planner for the agreed region and language. Record demand ranges and cost estimates.","One tightly related keyword group, negatives and matching article.","Do not treat our seed phrases as measured demand.","#ads-lab"
"M17","Cycle 3","Omar","Validate goals before bidding","60 min","Test one successful form submission, failed validation and reload. Inspect event counting and email receipt.","One real success fires once; failure and reload do not create false leads.","Keep page reads and call clicks separate from confirmed enquiries.","#ads"
"M18","Cycle 3","CEO + Omar","Approve the pilot allowance","20 min","Separate media, production, subscriptions and taxes within the marketing allowance.","A written media cap, duration, stop conditions and monitoring owner.","SAR100 total marketing is not automatically SAR100 ad spend.","#ads-lab"
"M19","Cycle 3","Omar + Judy","Prepare the fresh Search draft","60 min","Use the lab, then inspect real settings in Ads: goal, location, terms, copy, URL and budget.","A reviewed draft ready for an explicit launch decision.","Keep old campaigns paused; drafting does not authorize spend.","#ads"
"M20","Cycle 4","Omar + Judy","Decide what earns another cycle","45 min","Review content learning, article use, actual enquiries and any approved pilot costs.","Keep / revise / stop decisions with evidence and a next owner.","More impressions alone do not justify a budget increase.","#learn"
